respondent_id,age_group,zone,water_reliability,drainage_maintenance,street_condition,public_lighting,waste_collection,daytime_safety,nighttime_safety,police_trust,green_area_maintenance,overall_satisfaction
SYN-0001,60+,Central,3,3,3,3,3.0,3,2,3.0,3.0,4
SYN-0002,45-59,West,2,2,2,2,3.0,3,3,2.0,2.0,2
SYN-0003,30-44,South,4,4,3,5,4.0,4,3,3.0,5.0,3
SYN-0004,30-44,North,4,4,3,5,3.0,4,5,5.0,,3
SYN-0005,30-44,West,3,1,3,2,4.0,4,5,3.0,2.0,2
SYN-0006,30-44,East,2,3,1,2,3.0,4,2,3.0,2.0,1
SYN-0007,30-44,North,1,3,3,3,3.0,3,2,3.0,2.0,2
SYN-0008,30-44,East,1,3,3,2,3.0,4,3,2.0,2.0,1
SYN-0009,30-44,East,4,1,2,3,5.0,4,3,5.0,3.0,3
SYN-0010,60+,East,3,3,2,3,4.0,4,3,2.0,1.0,2
SYN-0011,60+,West,3,5,3,4,4.0,5,4,3.0,4.0,3
SYN-0012,18-29,South,4,4,3,4,3.0,4,4,2.0,3.0,3
SYN-0013,30-44,South,4,3,2,4,5.0,3,2,5.0,3.0,4
SYN-0014,18-29,East,1,4,4,3,4.0,5,3,3.0,3.0,2
SYN-0015,30-44,North,2,3,4,3,2.0,5,2,3.0,5.0,2
SYN-0016,18-29,North,2,3,2,4,3.0,2,1,1.0,2.0,2
SYN-0017,18-29,West,3,3,3,4,2.0,2,2,3.0,1.0,2
SYN-0018,45-59,Central,3,2,2,2,3.0,3,2,2.0,1.0,2
SYN-0019,30-44,South,3,4,3,3,5.0,3,2,2.0,4.0,3
SYN-0020,60+,Central,2,4,3,3,1.0,3,3,1.0,4.0,2
SYN-0021,18-29,Central,2,2,4,3,2.0,4,4,4.0,2.0,4
SYN-0022,18-29,South,1,2,2,3,3.0,3,3,3.0,4.0,2
SYN-0023,30-44,West,3,3,3,5,4.0,4,4,4.0,4.0,2
SYN-0024,18-29,South,2,3,3,3,5.0,4,3,5.0,3.0,3
SYN-0025,18-29,North,2,2,1,3,2.0,2,3,3.0,3.0,1
SYN-0026,60+,Central,3,3,2,1,4.0,4,2,4.0,3.0,3
SYN-0027,18-29,North,4,4,3,3,4.0,3,2,1.0,4.0,2
SYN-0028,18-29,West,3,3,3,4,3.0,4,4,4.0,4.0,2
SYN-0029,30-44,Central,2,4,4,4,1.0,3,3,2.0,3.0,2
SYN-0030,30-44,Central,3,3,4,1,4.0,2,2,1.0,3.0,3
SYN-0031,30-44,North,3,4,5,5,4.0,3,3,3.0,5.0,4
SYN-0032,30-44,South,3,2,2,4,3.0,3,3,4.0,3.0,3
SYN-0033,45-59,West,4,3,2,1,3.0,4,3,4.0,4.0,3
SYN-0034,18-29,South,2,2,2,4,2.0,4,4,4.0,3.0,2
SYN-0035,30-44,East,5,4,3,1,5.0,3,3,2.0,4.0,4
SYN-0036,45-59,North,2,4,4,4,2.0,3,5,4.0,4.0,2
SYN-0037,45-59,North,4,2,3,3,4.0,3,2,2.0,4.0,2
SYN-0038,30-44,East,2,2,2,1,4.0,5,1,3.0,3.0,2
SYN-0039,30-44,North,2,3,2,3,4.0,2,1,2.0,3.0,2
SYN-0040,18-29,South,4,4,4,4,3.0,3,2,4.0,3.0,3
SYN-0041,18-29,Central,2,3,3,4,3.0,5,1,3.0,4.0,3
SYN-0042,18-29,North,3,4,4,4,4.0,3,3,2.0,3.0,3
SYN-0043,45-59,South,2,2,3,2,3.0,2,3,4.0,2.0,3
SYN-0044,18-29,West,2,5,2,2,2.0,4,3,5.0,5.0,3
SYN-0045,45-59,North,3,3,2,4,4.0,2,1,1.0,2.0,3
SYN-0046,18-29,West,2,3,2,5,,4,2,,4.0,2
SYN-0047,45-59,South,3,5,3,4,4.0,4,5,4.0,3.0,3
SYN-0048,45-59,East,3,2,3,2,3.0,4,3,3.0,3.0,2
SYN-0049,18-29,North,3,4,4,2,5.0,5,3,3.0,5.0,3
SYN-0050,18-29,West,3,4,4,2,3.0,4,3,3.0,2.0,4
SYN-0051,18-29,North,1,3,3,2,2.0,4,2,2.0,2.0,2
SYN-0052,45-59,West,2,2,3,3,4.0,3,4,2.0,3.0,3
SYN-0053,18-29,East,3,1,1,2,3.0,3,2,2.0,2.0,1
SYN-0054,30-44,Central,3,4,3,2,2.0,4,3,4.0,4.0,3
SYN-0055,30-44,North,1,3,2,3,2.0,5,4,3.0,2.0,2
SYN-0056,45-59,East,3,2,2,3,2.0,4,3,2.0,3.0,3
